Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,ORB%.1,FT/FGA.1,Team,Season,SeasonType
10.0,10.0,2021-11-06,@,DAL,L,104.0,107.0,,112.5,115.7,92.4,0.186,0.36,0.559,52.6,47.6,6.5,5.1,0.541,10.6,19.5,0.128,0.609,15.1,20.0,0.154,BOS,2022,reg
11.0,11.0,2021-11-10,,TOR,W,104.0,88.0,,106.1,89.8,98.0,0.16,0.309,0.517,48.2,50.0,10.2,9.6,0.5,13.0,25.5,0.106,0.468,17.4,15.8,0.208,BOS,2022,reg
12.0,12.0,2021-11-12,,MIL,W,122.0,113.0,OT,120.8,111.9,91.4,0.188,0.427,0.587,42.4,46.8,5.0,13.7,0.552,14.1,37.2,0.167,0.531,11.2,24.5,0.092,BOS,2022,reg
13.0,13.0,2021-11-13,@,CLE,L,89.0,91.0,,97.0,99.2,91.7,0.231,0.295,0.518,45.3,60.6,7.6,7.0,0.462,18.9,25.0,0.218,0.444,10.8,19.6,0.235,BOS,2022,reg
14.0,14.0,2021-11-15,@,CLE,W,98.0,92.0,,103.9,97.5,94.3,0.256,0.372,0.565,47.7,63.9,7.4,14.0,0.526,13.9,14.6,0.205,0.482,13.5,14.9,0.145,BOS,2022,reg
15.0,15.0,2021-11-17,@,ATL,L,99.0,110.0,,106.0,117.8,93.4,0.202,0.488,0.541,48.8,64.9,9.6,4.5,0.506,13.3,26.1,0.167,0.586,13.6,16.7,0.185,BOS,2022,reg
16.0,16.0,2021-11-19,,LAL,W,130.0,108.0,,129.6,107.7,100.3,0.432,0.341,0.621,39.3,50.0,7.0,3.7,0.563,11.8,31.6,0.352,0.536,11.3,15.2,0.214,BOS,2022,reg
17.0,17.0,2021-11-20,,OKC,W,111.0,105.0,,118.2,111.8,93.9,0.159,0.443,0.589,52.9,68.3,4.3,13.0,0.563,6.9,17.0,0.136,0.5,8.8,27.3,0.094,BOS,2022,reg
18.0,18.0,2021-11-22,,HOU,W,108.0,90.0,,105.3,87.8,102.6,0.207,0.38,0.538,42.0,48.7,9.8,7.3,0.489,13.0,22.4,0.196,0.44,13.8,7.8,0.205,BOS,2022,reg
19.0,19.0,2021-11-24,,BRK,L,104.0,123.0,,108.1,127.9,96.2,0.308,0.527,0.503,52.6,73.5,6.2,10.0,0.434,9.6,27.3,0.275,0.588,9.2,25.0,0.271,BOS,2022,reg
20.0,20.0,2021-11-26,@,SAS,L,88.0,96.0,,91.4,99.7,96.3,0.163,0.37,0.446,51.0,58.8,4.2,12.7,0.424,10.0,21.1,0.109,0.471,10.3,17.0,0.161,BOS,2022,reg
21.0,21.0,2021-11-28,@,TOR,W,109.0,97.0,,113.3,100.9,96.2,0.378,0.415,0.57,45.4,70.6,5.2,5.9,0.488,15.8,28.6,0.354,0.446,9.9,25.5,0.151,BOS,2022,reg
22.0,22.0,2021-12-01,,PHI,W,88.0,87.0,,94.4,93.3,93.3,0.19,0.354,0.514,50.0,54.5,5.4,13.8,0.487,13.2,9.5,0.139,0.416,6.8,16.0,0.146,BOS,2022,reg
23.0,23.0,2021-12-03,@,UTA,L,130.0,137.0,,130.1,137.1,100.0,0.242,0.429,0.646,59.5,48.9,9.0,10.0,0.593,5.6,12.5,0.242,0.722,18.0,26.5,0.247,BOS,2022,reg
24.0,24.0,2021-12-04,@,POR,W,145.0,117.0,,147.3,118.8,98.5,0.333,0.425,0.727,41.0,53.1,5.1,11.7,0.684,10.7,34.3,0.299,0.517,8.0,20.9,0.281,BOS,2022,reg
25.0,25.0,2021-12-07,@,LAL,L,102.0,117.0,,102.5,117.5,99.5,0.354,0.402,0.538,60.0,75.0,8.0,6.1,0.5,12.1,15.6,0.244,0.559,13.7,32.5,0.14,BOS,2022,reg
26.0,26.0,2021-12-08,@,LAC,L,111.0,114.0,,108.2,111.1,102.6,0.244,0.372,0.583,44.7,63.4,10.7,5.7,0.535,19.5,32.6,0.221,0.553,17.4,21.4,0.235,BOS,2022,reg
27.0,27.0,2021-12-10,@,PHO,L,90.0,111.0,,93.2,115.0,96.6,0.258,0.28,0.435,53.5,37.1,7.2,10.3,0.398,11.2,27.8,0.172,0.521,10.6,31.1,0.115,BOS,2022,reg
28.0,28.0,2021-12-13,,MIL,W,117.0,103.0,,121.3,106.8,96.5,0.151,0.547,0.638,52.9,72.1,6.2,9.3,0.616,12.4,17.1,0.128,0.506,12.7,25.0,0.133,BOS,2022,reg
29.0,29.0,2021-12-17,,GSW,L,107.0,111.0,,109.5,113.6,97.7,0.354,0.5,0.565,50.0,55.6,5.1,4.5,0.53,14.4,25.0,0.244,0.522,12.4,26.1,0.189,BOS,2022,reg
30.0,30.0,2021-12-18,,NYK,W,114.0,107.0,,118.6,111.3,96.1,0.191,0.506,0.591,48.3,54.8,6.2,6.8,0.567,11.9,26.1,0.146,0.519,13.1,19.5,0.3,BOS,2022,reg
31.0,31.0,2021-12-20,,PHI,L,103.0,108.0,,104.6,109.6,98.5,0.305,0.329,0.554,44.7,42.1,9.1,10.6,0.506,16.2,25.6,0.244,0.569,16.6,6.1,0.361,BOS,2022,reg
32.0,32.0,2021-12-22,,CLE,W,111.0,101.0,,111.2,101.2,99.8,0.196,0.326,0.555,52.5,55.8,12.0,9.3,0.527,11.5,24.0,0.152,0.44,13.5,29.4,0.217,BOS,2022,reg
33.0,33.0,2021-12-25,@,MIL,L,113.0,117.0,,114.3,118.4,98.9,0.27,0.506,0.567,52.2,63.2,9.1,13.8,0.522,12.3,25.0,0.225,0.538,11.2,31.3,0.209,BOS,2022,reg
34.0,34.0,2021-12-27,@,MIN,L,103.0,108.0,,104.0,109.1,99.0,0.315,0.528,0.508,50.0,69.7,8.1,17.9,0.461,12.1,26.3,0.236,0.522,12.5,22.4,0.156,BOS,2022,reg
35.0,35.0,2021-12-29,,LAC,L,82.0,91.0,,90.7,100.7,90.4,0.109,0.416,0.387,49.5,54.3,8.9,15.1,0.366,7.0,34.4,0.079,0.475,15.3,23.7,0.173,BOS,2022,reg
